date,tweets,user,clean_text1
2015-04-07,"Jakarta ! Kaos #BaliTolakReklamasi resmi dari @ForBALI13 bisa didapatkan di sini , tgl 10 -12 April 2015 !  #plsRT",JRX_SID,jakarta kaos resmi didapatkan tanggal april
2015-04-06,"Jakarta ! Kaos #BaliTolakReklamasi resmi dari @forBALI13 bisa kalian dapatkan di sini , tgl 10 -12 April 2015 !  #plsRT",JRX_SID,jakarta kaos resmi dapatkan tanggal april
2015-03-25,"BUAHAHAHA ! RT @Aditiarenaldi9 JRX coba liat bli , cocok banget bli #KuatKitaBersinar #BaliTolakReklamasi",JRX_SID,jrx coba lihat cocok banget
2015-03-16,HA ! Itu asli ? RT @Mikominority Seniman /Aktifis Lingkungan /Sopir Truck JRX @xRMBLx . #BaliTolakReklamasi,JRX_SID,asli seniman aktivis lingkungan sopir truck jrx
2015-02-26,Dan @POISON_AND_ROSE feat . @ominx_ladyrose bawakan lagu #BALITOLAKREKLAMASI di #WarungTwice @RumbleshopUbud . Lawan !,JRX_SID,feat bawakan lagu lawan
2015-02-25,Pls RT @ForBALI13 Dikemas ringan tapi mengena : THE COMMENT - #BaliTolakReklamasi bersama JRX    cc @susipudjiastuti,JRX_SID,dikemas ringan mengena comment jrx
2015-02-20,Lawan ! RT @shitlicious This is why I support #BaliTolakReklamasi . What JRX says really makes sense .,JRX_SID,lawan dukung jrx makes sense
2015-01-21,Besok di Denpasar ! Konser untuk #BaliTolakReklamasi . Jangan henti lawan kerakusan penguasa dengan musik ! #plsRT,JRX_SID,besok denpasar konser henti lawan kerakusan penguasa musik
2015-01-17,Besok saya membacakan puisi di acara #BaliTolakReklamasi di @PuriKesiman . Ada band + DJ reggae juga . Gratis ! Yuk !,JRX_SID,besok membacakan puisi acara band dj reggae gratis ayo
2016-12-29,"Dan suatu saat nanti ia berkata <e2><80><9c>Aku jatuh cinta untuk melawan dunia <e2><80><9d>.

Photo : @ucok_olok
#devildice #ketogsemprong #balitolakreklamasi",JRX_SID,jatuh cinta melawan dunia photo
2016-10-31,"Video @DEVlLDICE semalam di Sumerta , Denpasar .  I love stage diving ! 

Video : Regentara

#balitolakreklamasi #sumerta #denpasar",JRX_SID,video semalam sumerta denpasar love stage diving video regentara
2016-10-30,Yg di Denpasar merapat ke Lapangan Dojo jalan Tulip skrg . @The_Dissland ngamuk di panggung . Lalu ada @DEVlLDICE . FREE . #balitolakreklamasi,JRX_SID,denpasar merapat lapangan dojo jalan tulip ngamuk panggung free
