date	tweets	user	clean_text1
28/12/17	"Incredibly humbled by last night 's  &  at PRJ Kemayoran . One of the best SID gig this year !

Shots : @ucok_olok
#sid #kutarockcity #punkrock #outsiders #ladyrose #xrmblx #dickies #vans #nixon #premierdrums #paistecymbals #vaterdrumsticks #evansdrumheads #balitolakreklamasi"	JRX_SID	incredibly humbled night prj kemayoran sid gig shots
09/12/17	"Hari ini . Yuk @taman_baca Kesiman saya dan @BonoSony on stage 3 pm . Merayakan hari HAM internasional . Gratis .

Shot by @ucok_olok
#jrxsonyb #duocoustic #tamanbacakesiman #amnestyinternational #balitolakreklamasi"	JRX_SID	ayo kesiman stage pm merayakan ham internasional gratis shot
09/12/17	"Semakin ada yg memecah belah kami . Semakin kami kuat dan bersatu . 

#dongoman #queenofalcohol #pantantri #sanur #localbusiness #arakbali #cumisunecekuh #sanurkutabersatu #balitolakreklamasi"	JRX_SID	memecah belah kuat bersatu
02/12/17	"Parade budaya Bali Tolak Reklamasi Teluk Benoa siang tadi . Beautiful .

Shot by @pande_dodik_sukadana

#balitolakreklamasi #batalkanperpresnolimasatuthbjad #love #rage #resistance"	JRX_SID	parade budaya bali tolak reklamasi teluk benoa siang beautiful shot
02/12/17	"Start 6 pagi , beres 6 sore . Pembuatan 9 unit MCK darurat di 3 titik shelter pengungsi Gunung Agung . Walau sedikit , semoga membantu 

#xrmblx #rumblegirl #rumahsanur #umaseminyak #archimetriz #ecofriendlytoilet #balitolakreklamasi #sakitbangkiang"	JRX_SID	start pagi beres sore pembuatan unit mck darurat titik shelter pengungsi gunung agung semoga membantu
01/12/17	"Yang sedang tidak membangun toilet darurat untuk pengungsi Gunung Agung , datang ke sini ya . Jaga api ini seabadi mungkin !

#balitolakreklamasi #love #rage #resistance #bali"	JRX_SID	membangun toilet darurat pengungsi gunung agung jaga api seabadi
26/11/17	"Undiksha Singaraja see you tonight ! Me and @BonoSony will be on stage 7 pm .

Selain kami , juga ada reggae warriors Rastafara Cetamol .

Shot by @guswib
#jrxsonyb #duocoustic #balitolakreklamasi"	JRX_SID	undiksha singaraja tonight stage pm reggae warriors rastafara cetamol shot
19/11/17	"Meeting dan diskusi politik yang menarik bersama LPM dan Bendesa Desa Adat Kuta .

#kutarockcity #balitolakreklamasi"	JRX_SID	meeting diskusi politik menarik lpm bendesa desa adat kuta
24/10/17	"Power !  

Shot by @hadhikusuma
#sid #balitolakreklamasi #batalkanperpreslimasatuthbjad"	JRX_SID	power shot
14/10/17	"Bersama kolektif leak .sanur yang tiada lelah berjuang untuk #balitolakreklamasi .

Shot by <e2><80><a6>"	JRX_SID	kolektif leak sanur tiada lelah berjuang shot
11/10/17	"Kids , respect your women and let 'em drown gracefully 
#bonghostel #nusalembongan #ecohostel #xrmblx #rumblegirl #balitolakreklamasi"	JRX_SID	kids respect women drown gracefully
14/09/17	"Finally ! Bar gigs ! Brussels see you tonight and tomorrow . We are playing alongside the amazing Mad <c3><a9> J

#SIDeuropeantour #balitolakreklamasi"	JRX_SID	final bar gigs brussels tonight tomorrow playing alongside amazing mad
10/09/17	"#BaliTolakReklamasi dan #KamiBersamaDandhy -- kemarin di Hamburg . 

#SIDeuropeantour 

Pic : @patrizki"	JRX_SID	kemarin hamburg
10/09/17	"Yesterday 's flame . Again , 6 pm today @PasarHamburg ! 

Video : @erickest
#SIDeuropeantour #Germany #Belgium #Netherlands #balitolakreklamasi"	JRX_SID	yesterday flame pm video
04/09/17	"Tonight !  

Repost from @gerobak_desa

Matembang ""Superman Is Dead "" Senin 4 September 2017 . See you

#tributetoSID #balitolakreklamasi"	JRX_SID	tonight repost matembang superman dead senin september twothousandandseventeen
30/08/17	"Under a red hot moon , take a bus downtown to the Grave yard shift tonight !

#sid #paistecymbals #xrmblx #balitolakreklamasi"	JRX_SID	red hot moon bus downtown grave yard shift tonight
17/08/17	"Raih merdekamu , abadikan api perlawananmu . Malam ini with @BonoSony akustikan di Banjar Tatasan DPS . Free . Starts 7 pm

#balitolakreklamasi"	JRX_SID	raih merdekamu abadikan api perlawananmu malam akustik banjar tatasan dps free starts pm
03/08/17	"Jeg cakcak yaaan @The_Dissland @ardha_neraka 

Video by @BudyHydrant
#balitolakreklamasi"	JRX_SID	jeg yan video
21/07/17	"Ada satu nyelip di telinga keyboardist nya

Pic : @ucok_olok the keyboardist

#devildice #plagawine #wineambassador #balitolakreklamasi"	JRX_SID	nyelip telinga keyboardist keyboardist
21/07/17	"Ring Of Fire

#rembangmelawan #baliforkendeng #balitolakreklamasi #sunnycafecanggu <e2><80><a6>"	JRX_SID	ring fire
20/07/17	"Coming soon . Kuta Rock City shades by @xRMBLx .

#xrmblx #balinesepride #movementbasedclothingbrand #ecodefender #balitolakreklamasi"	JRX_SID	coming kuta rock city shades
20/07/17	"Rock n Roll Band (SID ) covered by Roses Garage

#sid #tributetosid #balitolakreklamasi @ Gimme <e2><80><a6>"	JRX_SID	rock roll band sid covered roses garage gimme
12/07/17	"<c3><9c>ltra -nasionalis kiri garis garis .

cc @bobbysusila16 @ongkeytherinz
@dwputera @Koter_RTM dll

#warungsubur #lau #tuak #balitolakreklamasi"	JRX_SID	ltra nasionalis kiri garis garis
04/07/17	"UBUD ! See ya July 9th !

#jrxsonyb #duocoustic #balitolakreklamasi .

Repost stt .satyabuana

Desa <e2><80><a6>"	JRX_SID	ubud july 9th repost stt satyabuana desa
19/05/17	"Rock n roll mayhem !

Video by @dwputera
#devildice #kingsoftheoutcast #balitolakreklamasi"	JRX_SID	rock roll mayhem video
22/06/17	"Good bye Jay Biafra . Semoga tenang bersama semesta . Perjuanganmu akan kami lanjutkan hingga Puputan

#balitolakreklamasi"	JRX_SID	jay biafra semoga tenang semesta perjuanganmu lanjutkan puputan
20/06/17	"Forever in love with mother earth . Forever BTR ! 

By @ucok_olok
#balitolakreklamasi #hipsterkiller"	JRX_SID	forever love mother earth forever btr
20/06/17	"FCK JRX , literally

Shot by @guswib
#sid #kutarockcity #punkrock #outsiders #ladyrose #premierdrums #rebels #balitolakreklamasi"	JRX_SID	fck jrx literally shot
03/06/17	"From the back to the front page . From the gutter to the stage ! 

#kendengberdendang #kendenglestari #balitolakreklamasi #love #resistance"	JRX_SID	front page gutter stage
19/05/17	"Semalam . Terkumpul total donasi Rp . 3 .282 .000 .

Salut pada @Koter_RTM dkk !

#balitolakreklamasi #mantapsoul
"	JRX_SID	semalam terkumpul total donasi rp salut kawan kawan
19/05/17	"Another perfect night at @SunnycafeC -- cheers for mother earth !

cc : @plagawine
#balitolakreklamasi #sunnycafe #canggu #supportlocal"	JRX_SID	perfect night cheers mother earth
17/05/17	"Lets live like outlaws ! See u tonight at Gimme Shelter Canggu , then May 20th in Jember !

#devildice #balitolakreklamasi #mantapsoul"	JRX_SID	live outlaws tonight gimme shelter canggu jember
16/05/17	"With one of the good guys of Bali

#balitolakreklamasi"	JRX_SID	bali
06/05/17	"Thanx Semarang Lowrider . Keep loving keep fighting !

Shot by @ucok_olok .

#sid #punkrocklowrider #xrmblx #dickies #balitolakreklamasi"	JRX_SID	semarang lowrider loving fighting shot
24/03/17	"Harapan dapat mengalahkan rasa takut jika kita percaya ~ SBY

Shot : D .Ariadi

#xrmblx #newsboyhat #ecodefender #balitolakreklamasi #fcksby"	JRX_SID	harapan mengalahkan takut percaya sby shot ariadi
22/03/17	"Sama sekali tak merasa jadi pahlawan karena ikut aksi . Merasa jadi manusia yang tak mau dibodohi : iya

Pic : D .Ariadi 

#balitolakreklamasi"	JRX_SID	pahlawan aksi manusia dibohongi ariadi
23/01/17	"The big family of I Fought The Lau and The Lau Won

#lauadalahperlauanan #lau #tuak #balinesepalmwine #resistanceauntie #balitolakreklamasi"	JRX_SID	family fought lau lau won
23/01/17	"I Fought The Lau and The Lau Won !

Pesan kaos ini di @gunkjhonregular 

#lau #tuak #balinesepalmwine #localwisdom #balitolakreklamasi"	JRX_SID	fought lau lau won pesan kaos
13/03/18	"Gila ya pakde @jokowi sampai -sampai PM Canada @JustinTrudeau niru semua yg beliau lakukan ! 

#mantapsoul #balitolakreklamasi"	JRX_SID	gila pakde pm canada niru beliau lakukan
24/02/18	"Welcome to our Bong Hostel !

#bonghostel #softopeningoarty #rocknroll #nusalembongan #island #balitolakreklamasi"	JRX_SID	bong hostel
23/02/18	"Sesi clean up pertama usai sudah . Berhasil kumpulkan berkarung -karung sampah plastik . Sesi clean up kedua mulai jam 5 sore nanti . See you 
#nusalembongan #oneislandonevoice #satupulausatusuara #haripedulisampah #nopolitics #nodrama #justlove #balitolakreklamasi"	JRX_SID	sesi clean berhasil kumpulkan berkarung karung sampah plastik sesi clean jam sore
17/01/18	"Mulai minggu depan @plagawine sudah bisa disikat di @Twice_Bali -- sikat sampai habis karena kebersihan bagian dari Iman . Mantan istri mendiang David Bowie .

#twicebar #rocknrollbar #kutarockcity #plagawine #balitolakreklamasi"	JRX_SID	minggu disikat sikat habis kebersihan iman mantan istri mendiang david bowie
17/01/18	voice_ofglory blasting rebel anthem #balitolakreklamasi at twice_bar . After this we have <e2><80><a6>	JRX_SID	voice ofglory blasting rebel anthem bar
12/01/18	"Dagang lumpia di Renon sudah siap ? Daripada selfie sama cagub yg mendadak BTR , mending selfi sama dagang lumpia . Mereka lebih terhormat , apa yg mereka jual (lumpia ) sesuai dengan apa yg kamu harapkan .

#balitolakreklamasi #onfire"	JRX_SID	dagang lumpia renon selfie cagub mendadak btr mending selfi dagang lumpia terhormat jual lumpia sesuai harapkan
12/01/18	"Dari Ubud siap menghantam Renon dengan cinta dan rasa yang dulu pernah ada 
#balitolakreklamasi #onfire"	JRX_SID	ubud menghantam renon cinta
10/01/18	"Go find new @ Ada wawancara saya (pertanyaannya susah -susah , serasa audisi jadi astronot ) dan , ini yg menyenangkan , ada bonus CD Simulakra ; kompilasi band -band bawah tanah Bali lintas genre . Yes , majalah ini gratis .

Shot by @iguund
# #balitolakreklamasi"	JRX_SID	wawancara pertanyaannya susah susah serasa audisi astronot menyenangkan bonus cd simulakra kompilasi band band tanah bali lintas genre majalah gratis shot
02/01/18	"Malam ini di @Twice_Bali -- gratis ! Yang bawa minuman dari luar saya pribadi yang akan mengamplas pelipis licikmu .

#twicebar #rocknrollbar #kutarockcity #balitolakreklamasi"	JRX_SID	malam gratis bawa minuman pribadi mengamplas pelipis licikmu
13/09/13	!! RT @candrarock Pertama liat @SkaTePunk_ID di #BaliTolakReklamasi #2 . asli keren abis !	JRX_SID	lihat asli keren habis
13/09/13	Band canggih bervokalis ganteng @TRMofficial at konser mini #BaliTolakReklamasi #2 @reddbox317 . Ladies come closer !	JRX_SID	band canggih bervokalis ganteng konser mini ladies closer
13/09/13	Veteran melodic -punk @blackened_bali turun gunung utk konser mini #BaliTolakReklamasi #2 di @reddbox317 .	JRX_SID	veteran melodic punk turun gunung konser mini
13/09/13	The venomous @GEEKSSMILE at konser mini #BaliTolakReklamasi #2 di @reddbox317 . Cakcak yan !	JRX_SID	venomous konser mini yan
12/09/13	!!! RT @forbali13 selain download gratis kalian juga bisa request lagu #BaliTolakReklamasi di radio2 seluruh endonesa .. coba aja :)	JRX_SID	download gratis request lagu radio indonesia coba
12/09/13	Dan MALAM INI @forbali13 akan buka lapak baju #BaliTolakReklamasi di @reddbox317 Harga 100K .	JRX_SID	malam buka lapak baju harga 100k
10/09/13	13 September konser #BaliTolakReklamasi #2 di reddbox317 w / geekssmile @skatepunk_id @blackenedbali FREE !	JRX_SID	thirteen september konser reddbox317 geekssmile free
06/09/13	Dan @steelbonerigid semalam di konser #BaliTolakReklamasi #1 di @Twice_Bali . Pic : @ucok_olok	JRX_SID	semalam konser
06/09/13	Peluk tumpel utk MC konser #BaliTolakReklamasi tadi > @fajar_kkk dan siapa kaden lagi satu jeg lupa saya namanya nok :)	JRX_SID	peluk tumpel mc konser kaden jeg lupa namanya nok
06/09/13	Konser #BaliTolakReklamasi masih akan berlanjut minggu depan di Denpasar . Aksi penolakan tak akan surut hingga reklamasi benar dibatalkan !	JRX_SID	konser berlanjut minggu denpasar aksi penolakan surut reklamasi dibatalkan
06/09/13	Thanx semua yg datang ke konser #BaliTolakReklamasi tadi . Bising dgn sing along yg tebal !	JRX_SID	konser bising tebal
